All,ಎಲ್ಲಾ
"Please select at least one product to add to cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಗೆ ಸೇರಿಸಲು ದಯವಿಟ್ಟು ಕನಿಷ್ಟ ಒಂದು ಉತ್ಪನ್ನವನ್ನು ಆರಿಸಿ"
"The quote item isn't found. Verify the item and try again.","ಉಲ್ಲೇಖಿಸಿದ ಉತ್ಪನ್ನವು ಕಂಡುಬಂದಿಲ್ಲ. ಉತ್ಪನ್ನವನ್ನು ಪರಿಶೀಲಿಸಿ ಮತ್ತು ಮತ್ತೊಮ್ಮೆ ಪ್ರಯತ್ನಿಸಿ."
"We cannot configure the product.","ನಾವು ಉತ್ಪನ್ನವನ್ನು ಸಂರಚಿಸಲಾಗುವುದಿಲ್ಲ."
"You used coupon code ""%1"".","ಕೂಪನ್ ಕೋಡ್ ""%1"" ನ್ನು ನೀವು ಬಳಸಿದ್ದೀರಿ."
"You canceled the coupon code.","ನೀವು ಕೂಪನ್ ಕೋಡ್ ಅನ್ನು ರದ್ದುಗೊಳಿಸಿದ್ದೀರಿ."
"We cannot apply the coupon code.","ನಮಗೆ ಕೂಪನ್ ಕೋಡ್ ಅನ್ನು ಅನ್ವಯಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ."
"We can't remove the item.","ನಾವು ವಸ್ತುವನ್ನು ತೆಗೆದುಹಾಕಲು ಸಾಧ್ಯವಿಲ್ಲ."
"%1 was updated in your shopping cart.","ನಿಮ್ಮ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯಲ್ಲಿ %1 ಅನ್ನು ಪರಿಷ್ಕರಿಸಲಾಗಿದೆ."
"We can't update the item right now.","ನಾವು ಸಧ್ಯಕ್ಕೆ ವಸ್ತುವನ್ನು ಪರಿಷ್ಕರಿಸಲಾಗಲಿಲ್ಲ."
"Page Not Found","ಪುಟವು ಕಂಡುಬಂದಿಲ್ಲ"
"Something went wrong while saving the page. Please refresh the page and try again.","ಪುಟವನ್ನು ಉಳಿಸುವಲ್ಲಿ ಏನೋ ದೋಷವುಂಟಾಗಿದೆ. ದಯವಿಟ್ಟು ಪುಟವನ್ನು ರಿಫ್ರೆಶ್ ಮಾಡಿ ಮತ್ತು ನಂತರ ಮತ್ತೊಮ್ಮೆ ಪ್ರಯತ್ನಿಸಿ."
"We can't update the shopping cart.","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯನ್ನು ನಾವು ಪರಿಷ್ಕರಿಸಲಾಗಲಿಲ್ಲ."
"One-page checkout is turned off.","ಏಕ-ಪುಟ ಚೆಕೌಟ್ ನಿಷ್ಕ್ರಿಯವಾಗಿದೆ."
"Guest checkout is disabled.","ಅತಿಥಿ ಚೆಕೌಟ್ ನಿಷ್ಕ್ರಿಯವಾಗಿದೆ."
Checkout,ಚೆಕೌಟ್
"Page not found.","ಪುಟವು ಕಂಡುಬಂದಿಲ್ಲ."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","ವ್ಯಾಪಾರಾದೇಶದ ಸಲ್ಲಿಕೆಯಾಗಿಲ್ಲ. ಮೊದಲು, ನಿಯಮ ಮತ್ತು ನಿಬಂಧನೆಗಳಿಗೆ ಒಪ್ಪಿಗೆ ಸೂಚಿಸಿ, ನಂತರ ನಿಮ್ಮ ವ್ಯಾಪಾರಾದೇಶವನ್ನು ಮತ್ತೊಮ್ಮೆ ಸಲ್ಲಿಸಿ."
"Something went wrong while processing your order. Please try again later.","ನಿಮ್ಮ ಖರೀದಿಯನ್ನು ಪ್ರಕ್ರಿಯೆಗೊಳಿಸುವಲ್ಲಿ ಯಾವುದೋ ತೊಂದರೆ ಸಂಭವಿಸಿಸಿದೆ. ದಯವಿಟ್ಟು ನಂತರ ಪ್ರಯತ್ನಿಸಿ."
"An unspecified error occurred. Please contact us for assistance.","ಒಂದು ಅನುಸೂಚಿತ ದೋಷವುಂಟಾಗಿದೆ. ದಯವಿಟ್ಟು ಸಹಾಯಕ್ಕಾಗಿ ನಮ್ಮನ್ನು ಸಂಪರ್ಕಿಸಿ."
"Payment Method","ಪಾವತಿ ವಿಧಾನ"
"Payment Page","ಪಾವತಿ ಪುಟ"
"Please provide CAPTCHA code and try again","ದಯವಿಟ್ಟು CAPTCHA ಕೋಡ್ ಅನ್ನು ನಮೂದಿಸಿ ಮತ್ತು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ"
"The product wasn't found. Verify the product and try again.","ಉತ್ಪನ್ನವು ಕಂಡುಬಂದಿಲ್ಲ. ಉತ್ಪನ್ನವನ್ನು ಪರಿಶೀಲಿಸಿ ಮತ್ತು ಮತ್ತೊಮ್ಮೆ ಪ್ರಯತ್ನಿಸಿ."
"The product does not exist.","ಉತ್ಪನ್ನ ಅಸ್ತಿತ್ವದಲ್ಲಿಲ್ಲ."
"We don't have some of the products you want.","ನೀವು ಬಯಸಿರುವ ಕೆಲವು ಉತ್ಪನ್ನಗಳು ನಮ್ಮ ಬಳಿ ಲಭ್ಯವಿಲ್ಲ."
"We don't have as many of some products as you want.","ನೀವು ಬಯಸಿರುವ ಸಂಖ್ಯೆಯಲ್ಲಿ ಕೆಲವು ಉತ್ಪನ್ನ(ಗಳು) ನಮ್ಮ ಬಳಿ ಲಭ್ಯವಿಲ್ಲ."
"Quantity was recalculated from %1 to %2","ಪರಿಮಾಣವನ್ನು %1 ರಿಂದ %2 ಗೆ ಮರುಲೆಕ್ಕಹಾಕಲಾಗಿದೆ"
"Display number of items in cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯಲ್ಲಿನ ವಸ್ತುಗಳ ಸಂಖ್ಯೆಯನ್ನು ಪ್ರದರ್ಶಿಸಿ"
"Display item quantities","ವಸ್ತುವಿನ ಪರಿಮಾಣವನ್ನು ಪ್ರದರ್ಶಿಸಿ"
"A server error stopped your order from being placed. Please try to place your order again.","ಸರ್ವರ್ ದೋಷದಿಂದಾಗಿ ನಿಮ್ಮ ವ್ಯಾಪಾರಾದೇಶವನ್ನು ಸಲ್ಲಿಸಲಾಗಲಿಲ್ಲ. ದಯವಿಟ್ಟು ನಿಮ್ಮ ವ್ಯಾಪಾರಾದೇಶವನ್ನು ಮತ್ತೊಮ್ಮೆ ಸಲ್ಲಿಸಿ."
"The shipping information was unable to be saved. Error: ""%message""","ರವಾನೆ ಮಾಹಿತಿಯನ್ನು ಉಳಿಸಲು ಸಾಧ್ಯವಾಗಿಲ್ಲ. ದೋಷ: ""%message"""
"The shipping information was unable to be saved. Verify the input data and try again.","ರವಾನೆ ಮಾಹಿತಿಯನ್ನು ಉಳಿಸಲು ಸಾಧ್ಯವಾಗಿಲ್ಲ. ನಮೂದಿಸಿರುವ ದತ್ತಾಂಶವನ್ನು ಪರಿಶೀಲಿಸಿ ಮತ್ತು ಮತ್ತೊಮ್ಮೆ ಪ್ರಯತ್ನಿಸಿ."
"The shipping method is missing. Select the shipping method and try again.","ರವಾನೆ ವಿಧಾನ ಕಾಣೆಯಾಗಿದೆ. ರವಾನೆ ವಿಧಾನವನ್ನು ಆರಿಸಿ ಮತ್ತು ಮತ್ತೊಮ್ಮೆ ಪ್ರಯತ್ನಿಸಿ."
"The shipping address is missing. Set the address and try again.","ರವಾನೆ ವಿಳಾಸ ಕಾಣೆಯಾಗಿದೆ. ವಿಳಾಸವನ್ನು ಸೂಚಿಸಿ ಮತ್ತು ಮತ್ತೊಮ್ಮೆ ಪ್ರಯತ್ನಿಸಿ."
"The shipping method can't be set for an empty cart. Add an item to cart and try again.","ರವಾನೆ ವಿಧಾನವನ್ನು ಖಾಲಿ ಶಾಪಿಂಗೆ ಬುಟ್ಟಿಗೆ ಅನ್ವಯಿಸಲಾಗುವುದಿಲ್ಲ. ಶಾಪಿಂಗೆ ಬುಟ್ಟಿಗೆ ವಸ್ತುವನ್ನು ಸೇರಿಸಿ ಮತ್ತು ನಂತರ ಪ್ರಯತ್ನಿಸಿ."
" item"," ವಸ್ತು"
" items"," ವಸ್ತುಗಳು"
"Totals calculation is not applicable to empty cart","ಖಾಲಿ ಶಾಪಿಂಗೆ ಬುಟ್ಟಿಗೆ ಒಟ್ಟು ಮೊತ್ತದ ಲೆಕ್ಕ ಅನ್ವಯವಾಗುವುದಿಲ್ಲ"
"Invalid data","ಅಸಿಂಧುವಾದ ದತ್ತಾಂಶ"
"The customer address is not valid.","ಗ್ರಾಹಕರ ವಿಳಾಸ ಅಸಿಂಧುವಾಗಿದೆ."
"Invalid shipping method","ಅಸಿಂಧುವಾದ ರವಾನೆ ವಿಧಾನ"
"There are more than one shipping addresses.","ಒಂದಕ್ಕಿಂತ ಹೆಚ್ಚು ರವಾನೆ ವಿಳಾಸಗಳಿವೆ."
"Sorry, guest checkout is not available.","ಕ್ಷಮಿಸಿ, ಅತಿಥಿ ಚೆಕೌಟ್ ಲಭ್ಯವಿಲ್ಲ."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","ನೀವು ನಿಮ್ಮ ಖಾತೆಯನ್ನು ದೃಢೀಕರಿಸಬೇಕು. ದೃಢೀಕರಣದ ಕೊಂಡಿಗಾಗಿ ದಯವಿಟ್ಟು ನಿಮ್ಮ ಮಿಂಚೆಯನ್ನು ಪರೀಕ್ಷಿಸಿ ಅಥವಾ ಹೊಸ ಕೊಂಡಿಗಾಗಿ <a href=""%1"">ಇಲ್ಲಿ ಕ್ಲಿಕ್ ಮಾಡಿ</a>."
Error!,ದೋಷ!
"Print receipt","ರಸೀದಿಯನ್ನು ಮುದ್ರಿಸಿ"
"Apply Discount Code","ರಿಯಾಯಿತಿ ಕೋಡನ್ನು ಅನ್ವಯಿಸಿ"
"Enter discount code","ರಿಯಾಯಿತಿ ಕೋಡನ್ನು ನಮೂದಿಸಿ"
"Apply Discount","ರಿಯಾಯಿತಿಯನ್ನು ಅನ್ವಯಿಸಿ"
"Cancel Coupon","ಕೂಪನ್ ರದ್ದುಪಡಿಸಿ"
"Continue Shopping","ಶಾಪಿಂಗ್ ಮುಂದುವರೆಸಿ"
"Clear Shopping Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯನ್ನು ತೆರವುಗೊಳಿಸಿ"
"Update Shopping Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿ ಪರಿಷ್ಕರಿಸಿ"
"Update Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿ ಪರಿಷ್ಕರಿಸಿ"
"See price before order confirmation.","ಖಚಿತಪಡಿಸುವ ಮುನ್ನ ಬೆಲೆಯನ್ನು ವೀಕ್ಷಿಸಿ."
"You have no items in your shopping cart.","ನಿಮ್ಮ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯಲ್ಲಿ ಯಾವುದೇ ವಸ್ತುಗಳಿಲ್ಲ."
"Click <a href=""%1"">here</a> to continue shopping.","ಶಾಪಿಂಗ್ ಮುಂದುವರಿಸಲು <a href=""%1"">ಇಲ್ಲಿ</a> ಕ್ಲಿಕ್ ಮಾಡಿ."
"Estimate Tax","ತೆರಿಗೆಯನ್ನು ಅಂದಾಜಿಸಿ"
"Estimate Shipping and Tax","ತೆರಿಗೆ ಮತ್ತು ಸಾಗಾಣಿಕೆ ವೆಚ್ಚವನ್ನು ಅಂದಾಜಿಸಿ"
"You added %1 to your <a href=""%2"">shopping cart</a>.","ನೀವು ನಿಮ್ಮ <a href=""%2"">ಶಾಪಿಂಗ್ ಬುಟ್ಟಿ</a> ಗೆ %1 ಅನ್ನು ಸೇರಿಸಿದ್ದೀರಿ."
"Order #","ವ್ಯಾಪಾರಾದೇಶ #"
"Proceed to Checkout","ಚೆಕೌಟ್ ಗೆ ಮುಂದುವರೆಯಿರಿ"
"Your order number is: %1.","ನಿಮ್ಮ ವ್ಯಾಪಾರಾದೇಶದ ಸಂಖ್ಯೆ: %1."
"Your order # is: <span>%1</span>.","ನಿಮ್ಮ ವ್ಯಾಪಾರಾದೇಶ #: <span>%1</span>."
"We'll email you an order confirmation with details and tracking info.","ವ್ಯಾಪಾರಾದೇಶದ ದೃಢೀಕರಣದ ವಿವರ ಮತ್ತು ಅನುಸರಣೆ ಮಾಹಿತಿಗಳನ್ನು ನಾವು ನಿಮಗೆ ಮಿಂಚೆಯಲ್ಲಿ ತಲುಪಿಸುತ್ತೇವೆ."
"Payment Transaction Failed Reminder","ವಿಫಲವಾದ ಪಾವತಿ ವ್ಯವಹಾರದ ನೆನಪೋಲೆ"
"Payment Transaction Failed","ಪಾವತಿ ವ್ಯವಹಾರ ವಿಫಲವಾಗಿದೆ"
Reason,ಕಾರಣ
"Checkout Type","ಚೆಕೌಟ್ ವಿಧ"
Customer:,ಗ್ರಾಹಕ:
Total:,"ಒಟ್ಟು ಮೊತ್ತ:"
"Billing Address:","ಬಿಲ್ಲಿಂಗ್ ವಿಳಾಸ:"
"Shipping Address:","ರವಾನೆ ವಿಳಾಸ:"
"Shipping Method:","ರವಾನೆ ವಿಧಾನ:"
"Payment Method:","ಪಾವತಿ ವಿಧಾನ:"
"Date & Time:","ದಿನಾಂಕ & ಸಮಯ:"
"Sign In","ಸೈನ್ ಇನ್"
"Email Address","ಮಿಂಚೆ ವಿಳಾಸ"
"Forgot Your Password?","ಗುಪ್ತಪದ ಮರೆತಿರುವಿರಾ?"
"My billing and shipping address are the same","ನನ್ನ ಬಿಲ್ಲಿಂಗ್ ಮತ್ತು ರವಾನೆ ವಿಳಾಸಗಳು ಒಂದೇ ಆಗಿವೆ"
Update,ಪರಿಷ್ಕರಿಸಿ
"Save in address book","ವಿಳಾಸಪಟ್ಟಿಯಲ್ಲಿ ಉಳಿಸಿ"
"Estimated Total","ಅಂದಾಜು ಮೊತ್ತ"
"You can create an account after checkout.","ನೀವು ಚೆಕೌಟ್ ಆದ ನಂತರ ಖಾತೆಯೊಂದನ್ನು ರಚಿಸಬಹುದು."
"You already have an account with us. Sign in or continue as guest.","ನೀವು ನಮ್ಮ ಬಳಿ ಈಗಾಗಲೇ ಖಾತೆಯನ್ನು ಹೊಂದಿದ್ದೀರಿ. ಸೈನ್ ಇನ್ ಮಾಡಿ ಅಥವಾ ಅತಿಥಿ ಯಂತೆ ಮುಂದುವರೆಯಿರಿ."
Login,ಲಾಗಿನ್
of,ನಲ್ಲಿ
"Items in Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯಲ್ಲಿನ ವಸ್ತುಗಳು"
"Item in Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯಲ್ಲಿನ ವಸ್ತು"
"Recently added item(s)","ಇತ್ತೀಚೆಗೆ ಸೇರಿಸಿದ ವಸ್ತು(ಗಳು)"
"View and Edit Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯನ್ನು ವೀಕ್ಷಿಸಿ ಮತ್ತು ಸಂಪಾದಿಸಿ"
"See Details","ವಿವರಗಳನ್ನು ವೀಕ್ಷಿಸಿ"
"Options Details","ಆಯ್ಕೆಗಳ ವಿವರ"
"Cart Subtotal","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿ ಉಪಮೊತ್ತ"
"No Payment Methods","ಪಾವತಿ ವಿಧಾನಗಳಿಲ್ಲ"
"No Payment method available.","ಪಾವತಿ ವಿಧಾನಗಳು ಲಭ್ಯವಿಲ್ಲ."
"You can track your order status by creating an account.","ನೀವು ಖಾತೆಯನ್ನು ರಚಿಸುವ ಮೂಲಕ ನಿಮ್ಮ ವ್ಯಾಪಾರಾದೇಶದ ಸ್ಠಿತಿಯನ್ನು ಅನುಸರಿಸಬಹುದು."
"Create an Account","ಖಾತೆಯೊಂದನ್ನು ರಚಿಸಿ"
"Forgot an Item?","ವಸ್ತುವೊಂದನ್ನು ಮರೆತಿರಾ?"
"Edit Your Cart","ನಿಮ್ಮ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯನ್ನು ಸಂಪಾದಿಸಿ"
"Ship Here","ಇಲ್ಲಿಗೆ ರವಾನಿಸಿ"
"Select Method","ವಿಧಾನವನ್ನು ಆರಿಸಿ"
"Method Title","ವಿಧಾನದ ಶೀರ್ಷಿಕೆ"
"Ship To:","ಇಲ್ಲಿಗೆ ರವಾನಿಸಿ:"
edit,ಸಂಪಾದಿಸಿ
"Shipping Address","ರವಾನೆ ವಿಳಾಸ"
"New Address","ಹೊಸ ವಿಳಾಸ"
"Shipping Methods","ಸಾಗಾಣಿಕೆ ವಿಧಾನಗಳು"
"Order Summary","ವ್ಯಾಪಾರಾದೇಶದ ಸಾರಾಂಶ"
"Provided Zip/Postal Code seems to be invalid.","ನಮೂದಿಸಿರುವ ಪಿನ್ ಕೋಡ್ ಅಸಿಂಧುವಾಗಿರುವಂತೆ ಕಾಣುತ್ತಿದೆ."
" Example: "," ಉದಾಹರಣೆ: "
"If you believe it is the right one you can ignore this notice.","ಇದು ನಿಮಗೆ ಸರಿಯೆಂದು ನಂಬಿಕೆಯಿದ್ದಲ್ಲಿ ನೀವು ಈ ನೋಟೀಸನ್ನು ನಿರ್ಲಕ್ಷಿಸಬಹುದು."
"Field ","ಫೀಲ್ಡ್‌ "
" is required."," ಅಗತ್ಯವಿದೆ."
"Something went wrong with your request. Please try again later.","ನಿಮ್ಮ ವಿನಂತಿ ಯ ಜೊತೆ ಏನೋ ದೋಷವುಂಟಾಗಿದೆ. ದಯವಿಟ್ಟು ನಂತರ ಮತ್ತೊಮ್ಮೆ ಪ್ರಯತ್ನಿಸಿ."
"Are you sure you want to remove all items from your shopping cart?","ನೀವು ನಿಮ್ಮ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯಿಂದ ಎಲ್ಲಾ ವಸ್ತುಗಳನ್ನು ತೆಗೆದುಹಾಕಲು ಬಯಸುವಿರಾ?"
"Are you sure you would like to remove this item from the shopping cart?","ನೀವು ನಿಮ್ಮ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯಿಂದ ಈ ವಸ್ತುವನ್ನು ತೆಗೆದುಹಾಕಲು ಬಯಸುವಿರಾ?"
"Review & Payments","ವಿಮರ್ಶೆ ಮತ್ತು ಪಾವತಿಗಳು"
"Select a new payment method","ಹೊಸ ಪಾವತಿ ವಿಧಾನವನ್ನು ಆರಿಸಿ"
"Save Address","ವಿಳಾಸವನ್ನು ಉಳಿಸಿ"
"Please specify a regionId in shipping address.","ರವಾನೆ ವಿಳಾಸದಲ್ಲಿ ದಯವಿಟ್ಟು ಪ್ರದೇಶದ ಗುರುತನ್ನು ಸೂಚಿಸಿ."
"Checkout Options","ಚೆಕೌಟ್ ಆಯ್ಕೆಗಳು"
"Enable Onepage Checkout","ಏಕಪುಟ ಚೆಕೌಟ್ ಅನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಿ"
"Allow Guest Checkout","ಅತಿಥಿ ಚೆಕೌಟ್ ಅನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಿ"
"Display Billing Address On","ಬಿಲ್ಲಿಂಗ್ ವಿಳಾಸ ಪ್ರದರ್ಶಿಸಿ"
"Maximum Number of Items to Display in Order Summary","ವ್ಯಾಪಾರಾದೇಶದ ಸಾರಾಂಶದಲ್ಲಿ ಪ್ರದರ್ಶಿಸಲು ವಸ್ತುಗಳ ಗರಿಷ್ಟ ಸಂಖ್ಯೆ"
"After Adding a Product Redirect to Shopping Cart","ಉತ್ಪನ್ನವನ್ನು ಸೇರಿಸಿದ ನಂತರ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಗೆ ಮರುನಿರ್ದೇಶಿಸಿ"
"Number of Items to Display Pager","ಪೇಜರ್ ಪ್ರದರ್ಶಿಸಲು ವಸ್ತುಗಳ ಸಂಖ್ಯೆ"
"Enable Clear Shopping Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿ ತೆರವುಗೊಳಿಸುವುದನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಿ"
"My Cart Link","ನನ್ನ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿ ಕೊಂಡಿ"
"Display Cart Summary","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿ ಸಾರಾಂಶವನ್ನು ಪ್ರದರ್ಶಿಸಿ"
"Mini Cart","ಸಣ್ಣ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿ"
"Display Mini Cart","ಸಣ್ಣ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯನ್ನು ಪ್ರದರ್ಶಿಸಿ"
"Number of Items to Display Scrollbar","ಸ್ಕ್ರಾಲ್ ಪಟ್ಟಿ ಪ್ರದರ್ಶಿಸಲು ವಸ್ತುಗಳ ಸಂಖ್ಯೆ"
"Maximum Number of Items to Display","ಪ್ರದರ್ಶಿಸಲು ವಸ್ತುಗಳ ಗರಿಷ್ಟ ಸಂಖ್ಯೆ"
"Payment Failed Emails","ವಿಫಲವಾದ ಪಾವತಿಯ ಮಿಂಚೆಗಳು"
"Payment Failed Email Sender","ವಿಫಲವಾದ ಪಾವತಿಯ ಮಿಂಚೆ ರವಾನೆದಾರ"
"Payment Failed Email Receiver","ವಿಫಲವಾದ ಪಾವತಿಯ ಮಿಂಚೆ ಸ್ವೀಕೃತಿದಾರ"
"Send Payment Failed Email Copy To","ವಿಫಲವಾದ ಪಾವತಿಯ ಮಿಂಚೆಯ ನಕಲನ್ನು ಇವರಿಗೆ ಕಳುಹಿಸಿ"
"Separate by "","".",""","" ದಿಂದ ವಿಭಾಗಿಸಿ."
"Send Payment Failed Email Copy Method","ವಿಫಲವಾದ ಪಾವತಿಯ ಮಿಂಚೆಯ ನಕಲು ವಿಧಾನವನ್ನು ಕಳುಹಿಸಿ"
"Order Total","ವ್ಯಾಪಾರಾದೇಶದ ಮೊತ್ತ"
"We'll send your order confirmation here.","ನಾವು ನಿಮ್ಮ ವ್ಯಾಪಾರಾದೇಶದ ದೃಢೀಕರಣವನ್ನು ಇಲ್ಲಿಗೆ ರವಾನಿಸುತ್ತೇವೆ."
Payment,ಪಾವತಿ
"Not yet calculated","ಇನ್ನೂ ಲೆಕ್ಕಮಾಡಿಲ್ಲ"
"The order was not successful!","ವ್ಯಾಪಾರಾದೇಶ ಸಫಲವಾಗಲಿಲ್ಲ!"
"Thank you for your purchase!","ನಿಮ್ಮ ಖರೀದಿಗಾಗಿ ಧನ್ಯವಾದಗಳು!"
"Terms and Conditions","ನಿಯಮ ಮತ್ತು ನಿಬಂಧನೆಗಳು"
"Add New Condition","ಹೊಸ ನಿಬಂಧನೆಯನ್ನು ಸೇರಿಸಿ"
"Save Condition","ನಿಬಂಧನೆಯನ್ನು ಉಳಿಸಿ"
"Delete Condition","ನಿಬಂಧನೆಯನ್ನು ಅಳಿಸಿ"
"Edit Terms and Conditions","ನಿಯಮ ಮತ್ತು ನಿಬಂಧನೆಗಳನ್ನು ಸಂಪಾದಿಸಿ"
"New Terms and Conditions","ಹೊಸ ನಿಯಮ ಮತ್ತು ನಿಬಂಧನೆಗಳು"
"Terms and Conditions Information","ನಿಬಂಧನೆನಿಯಮ ಮತ್ತು ನಿಬಂಧನೆಗಳ ಮಾಹಿತಿ"
"Condition Name","ನಿಬಂಧನೆಗಳ ಹೆಸರು"
Applied,ಅನ್ವಯಿಸಿದೆ
Condition,ನಿಬಂಧನೆ
"Checkout Conditions","ಚೆಕೌಟ್ ನಿಬಂಧನೆಗಳು"
"Checkout Terms and Conditions","ಚೆಕೌಟ್ ನಿಯಮ ಮತ್ತು ನಿಬಂಧನೆಗಳು"
"This condition no longer exists.","ಈ ನಿಯಮವು ಈಗ ಅಸ್ತಿತ್ವದಲ್ಲಿರುವುದಿಲ್ಲ."
"You deleted the condition.","ನಿಬಂಧನೆಯನ್ನು ನೀವು ಅಳಿಸಿದ್ದೀರಿ."
"Something went wrong  while deleting this condition.","ಈ ನಿಬಂಧನೆಯನ್ನು ಅಳಿಸುವಲ್ಲಿ ಎನೋ ತೊಂದರೆಯಾಗಿದೆ."
"Edit Condition","ನಿಬಂಧನೆಯನ್ನು ಸಂಪಾದಿಸಿ"
"New Condition","ಹೊಸ ನಿಬಂಧನೆ"
"You saved the condition.","ನಿಬಂಧನೆಯನ್ನು ನೀವು ಉಳಿಸಿದ್ದೀರಿ."
"Something went wrong while saving this condition.","ಈ ನಿಬಂಧನೆಯನ್ನು ಉಳಿಸುವಲ್ಲಿ ಎನೋ ತೊಂದರೆಯಾಗಿದೆ."
Automatically,ಸ್ವಯಂಚಾಲಿತವಾಗಿ
"A checkout agreement with the ""%1"" specified ID wasn't found. Verify the ID and try again.","ಸೂಚಿತ ""%1"" ID ಯೊಂದಿಗಿನ ಚೆಕೌಟ್ ಒಪ್ಪಂದ ಕಂಡುಬಂದಿಲ್ಲ. ಪರಿಶೀಲಿಸಿ ಮತ್ತು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ."
"Terms & Conditions","ನಿಯಮ ಮತ್ತು ನಿಬಂಧನೆಗಳು"
"Enable Terms and Conditions","ನಿಯಮ ಮತ್ತು ನಿಬಂಧನೆಗಳನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಿ"
"The order can't be submitted in preview mode.","ಮುನ್ನೋಟದ ವಿಧಾನದಲ್ಲಿ ವ್ಯಾಪಾರಾದೇಶವನ್ನು ಸಲ್ಲಿಸಲಾಗುವುದಿಲ್ಲ."
"Static Blocks","ಸ್ಥಿರ ಬ್ಲಾಕ್‍ಗಳು"
"Add New Block","ಹೊಸ ಬ್ಲಾಕನ್ನು ಸೇರಿಸಿ"
"Delete Block","ಬ್ಲಾಕ್‍ ಅನ್ನು ಅಳಿಸಿ"
"Manage Pages","ಪುಟಗಳನ್ನು ನಿರ್ವಹಿಸಿ"
"Add New Page","ಹೊಸ ಪುಟವನ್ನು ಸೇರಿಸಿ"
"Delete Page","ಪುಟವನ್ನು ಅಳಿಸಿ"
Created,ರಚಿಸಿದೆ
Modified,ಮಾರ್ಪಡಿಸಲಾಗಿದೆ
"Media Storage","ಮಾಧ್ಯಮ ಸಂಗ್ರಹಣೆ"
"Delete Folder","ಫೋಲ್ಡರ್ ಅಳಿಸಿ"
"Delete Selected","ಆರಿಸಿದುದನ್ನು ಅಳಿಸಿ"
"Create Folder","ಫೋಲ್ಡರ್ ರಚಿಸಿ"
"New Folder Name:","ಹೊಸ ಫೋಲ್ಡರ್ ಹೆಸರು:"
"Are you sure you want to delete this folder?","ನೀವು ಈ ಕಡತಕೋಶವನ್ನು ಖಚಿತವಾಗಿಯೂ ಅಳಿಸಬಯಸುವಿರಾ?"
"Are you sure you want to delete this file?","ನೀವು ಈ ಕಡತವನ್ನು ಖಚಿತವಾಗಿಯೂ ಅಳಿಸಬಯಸುವಿರಾ?"
"Images (%1)",ಚಿತ್ರಗಳು(%1)
"Storage Root","ಸಂಗ್ರಹಣಾ ಮೂಲ"
"You deleted the block.","ನೀವು ಬ್ಲಾಕ್ ಅನ್ನು ಅಳಿಸಿದ್ದೀರಿ."
"This block no longer exists.","ಈ ಬ್ಲಾಕ್ ಈಗ ಅಸ್ತಿತ್ವದಲ್ಲಿರುವುದಿಲ್ಲ."
"Edit Block","ಬ್ಲಾಕ್ ಅನ್ನು ಸಂಪಾದಿಸಿ"
"New Block","ಹೊಸ ಬ್ಲಾಕ್"
Blocks,ಬ್ಲಾಕ್‍ಗಳು
"You saved the block.","ನೀವು ಬ್ಲಾಕ್ ಅನ್ನು ಉಳಿಸಿದ್ದೀರಿ."
"Something went wrong while saving the block.","ಬ್ಲಾಕ್ ಅನ್ನು ಉಳಿಸುವಲ್ಲಿ ಏನೋ ತೊಂದರೆಯಾಗಿದೆ."
"You duplicated the block.","ನೀವು ಬ್ಲಾಕ್ ಅನ್ನು ನಕಲಿಸಿದ್ದೀರಿ."
"The page has been deleted.","ಪುಟವನ್ನು ಅಳಿಸಲಾಗಿದೆ."
